date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:07:13	206008/206008	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Aug%202023%2010:55:20%20GMT	https://uae.citizenshop.me/collections/promaster	C:/My%20Web%20Sites/https___uae.citizenshop.me_/uae.citizenshop.me/collections/promaster.html	(from https://uae.citizenshop.me/)
04:07:13	109265/109265	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20Apr%202023%2007:59:28%20GMT	https://citizenshop.me/assets/images/tbl_other_images/55851-1179x599_jy8125-54l.jpg	C:/My%20Web%20Sites/https___uae.citizenshop.me_/citizenshop.me/assets/images/tbl_other_images/55851-1179x599_jy8125-54l.jpg	(from https://uae.citizenshop.me/)
04:07:14	138108/138108	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Aug%202023%2010:55:22%20GMT	https://uae.citizenshop.me/collections/satellite-wave	C:/My%20Web%20Sites/https___uae.citizenshop.me_/uae.citizenshop.me/collections/satellite-wave.html	(from https://uae.citizenshop.me/)
04:07:14	191772/191772	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Apr%202020%2011:56:26%20GMT	https://citizenshop.me/assets/images/tbl_other_images/e4aa7-citizen-satellite-wave-gps-wathces.jpg	C:/My%20Web%20Sites/https___uae.citizenshop.me_/citizenshop.me/assets/images/tbl_other_images/e4aa7-citizen-satellite-wave-gps-wathces.jpg	(from https://uae.citizenshop.me/)
04:07:16	176208/176208	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Aug%202023%2010:55:24%20GMT	https://uae.citizenshop.me/collections/citizen-l	C:/My%20Web%20Sites/https___uae.citizenshop.me_/uae.citizenshop.me/collections/citizen-l.html	(from https://uae.citizenshop.me/)
04:07:16	117633/117633	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20May%202023%2012:03:29%20GMT	https://citizenshop.me/assets/images/tbl_other_images/c90ad-1179x599_em1060-87n.jpg	C:/My%20Web%20Sites/https___uae.citizenshop.me_/citizenshop.me/assets/images/tbl_other_images/c90ad-1179x599_em1060-87n.jpg	(from https://uae.citizenshop.me/)
04:07:17	206009/206009	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Aug%202023%2010:55:25%20GMT	https://uae.citizenshop.me/collections/mechanical	C:/My%20Web%20Sites/https___uae.citizenshop.me_/uae.citizenshop.me/collections/mechanical.html	(from https://uae.citizenshop.me/)
04:07:18	136207/136207	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Apr%202022%2006:41:45%20GMT	https://citizenshop.me/assets/images/tbl_other_images/23b10-1179x599.jpg	C:/My%20Web%20Sites/https___uae.citizenshop.me_/citizenshop.me/assets/images/tbl_other_images/23b10-1179x599.jpg	(from https://uae.citizenshop.me/)
04:07:19	204758/204758	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Aug%202023%2010:55:27%20GMT	https://uae.citizenshop.me/collections/quartz-collection	C:/My%20Web%20Sites/https___uae.citizenshop.me_/uae.citizenshop.me/collections/quartz-collection.html	(from https://uae.citizenshop.me/)
04:07:20	132620/132620	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20Apr%202020%2007:09:25%20GMT	https://citizenshop.me/assets/images/tbl_other_images/88599-citizen-quarts-watches.jpg	C:/My%20Web%20Sites/https___uae.citizenshop.me_/citizenshop.me/assets/images/tbl_other_images/88599-citizen-quarts-watches.jpg	(from https://uae.citizenshop.me/)
04:07:21	190115/190115	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Aug%202023%2010:55:29%20GMT	https://uae.citizenshop.me/new-arrivals	C:/My%20Web%20Sites/https___uae.citizenshop.me_/uae.citizenshop.me/new-arrivals.html	(from https://uae.citizenshop.me/)
04:07:22	148310/148310	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Aug%202023%2010:55:30%20GMT	https://uae.citizenshop.me/model/EM1060-87N	C:/My%20Web%20Sites/https___uae.citizenshop.me_/uae.citizenshop.me/model/EM1060-87N.html	(from https://uae.citizenshop.me/)
04:07:22	111945/111945	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20May%202023%2012:39:29%20GMT	https://citizenshop.me/assets/images/tbl_other_images/065ff-392x260_em1060-87n.jpg	C:/My%20Web%20Sites/https___uae.citizenshop.me_/citizenshop.me/assets/images/tbl_other_images/065ff-392x260_em1060-87n.jpg	(from https://uae.citizenshop.me/)
04:07:23	149301/149301	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Aug%202023%2010:55:31%20GMT	https://uae.citizenshop.me/model/JY8125-54L	C:/My%20Web%20Sites/https___uae.citizenshop.me_/uae.citizenshop.me/model/JY8125-54L.html	(from https://uae.citizenshop.me/)
04:07:23	94611/94611	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Apr%202023%2011:28:17%20GMT	https://citizenshop.me/assets/images/tbl_other_images/8d13c-392x260_jy8125-54l.jpg	C:/My%20Web%20Sites/https___uae.citizenshop.me_/citizenshop.me/assets/images/tbl_other_images/8d13c-392x260_jy8125-54l.jpg	(from https://uae.citizenshop.me/)
04:07:24	143302/143302	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Aug%202023%2010:55:32%20GMT	https://uae.citizenshop.me/model/NY0131-81X	C:/My%20Web%20Sites/https___uae.citizenshop.me_/uae.citizenshop.me/model/NY0131-81X.html	(from https://uae.citizenshop.me/)
04:07:25	102030/102030	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Oct%202021%2008:35:45%20GMT	https://citizenshop.me/assets/images/tbl_other_images/84102-ny0131-81x.jpg	C:/My%20Web%20Sites/https___uae.citizenshop.me_/citizenshop.me/assets/images/tbl_other_images/84102-ny0131-81x.jpg	(from https://uae.citizenshop.me/)
04:07:26	145259/145259	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Aug%202023%2010:55:34%20GMT	https://uae.citizenshop.me/model/CC4016-75E	C:/My%20Web%20Sites/https___uae.citizenshop.me_/uae.citizenshop.me/model/CC4016-75E.html	(from https://uae.citizenshop.me/)
04:07:26	104229/104229	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Oct%202021%2009:39:06%20GMT	https://citizenshop.me/assets/images/tbl_other_images/29876-cc4016-75e.jpg	C:/My%20Web%20Sites/https___uae.citizenshop.me_/citizenshop.me/assets/images/tbl_other_images/29876-cc4016-75e.jpg	(from https://uae.citizenshop.me/)
04:07:27	143270/143270	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Aug%202023%2010:55:35%20GMT	https://uae.citizenshop.me/model/CA0775-87E	C:/My%20Web%20Sites/https___uae.citizenshop.me_/uae.citizenshop.me/model/CA0775-87E.html	(from https://uae.citizenshop.me/)
